('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         723125 function calls (698444 primitive calls) in 1.674 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      228    0.028    0.000    0.462    0.002 {method 'read' of '_io.BufferedReader' objects}
    228/3    0.000    0.000    0.207    0.069 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      227    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      226    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      226    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      226    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      223    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      222    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      222    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      206    0.000    0.000    0.028    0.000 _compiler.py:576(_code)
      206    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      206    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      206    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      206    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      206    0.000    0.000    0.043    0.000 _parser.py:970(parse)
      206    0.000    0.000    0.072    0.000 _compiler.py:743(compile)
      206    0.001    0.000    0.005    0.000 _compiler.py:514(_compile_info)
      204    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
      201    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
  199/196    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    199/3    0.000    0.000    0.206    0.069 <frozen importlib._bootstrap>:911(_load_unlocked)
      199    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      197    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      197    0.000    0.000    0.004    0.000 _parser.py:97(closegroup)
      195    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      195    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      189    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      186    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
    171/1    0.000    0.000    1.674    1.674 {built-in method builtins.exec}
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
  170/167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
